Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
Lore_Card_VII,Text,,,,,"Come in! There is enough for everybody!" -Rosette during one of the many Winged invasion,"Entrez! Il y en a assez pour tout le monde!"- Rosette pendant l'une des nombreuses invasions célestes,"Come in! There is enough for everybody!" -Rosette during one of the many Winged invasion,"Come in! There is enough for everybody!" -Rosette during one of the many Winged invasion,"Come in! There is enough for everybody!" -Rosette during one of the many Winged invasion,"Come in! There is enough for everybody!" -Rosette during one of the many Winged invasion
Lore_Card_VIII,Text,,,,,"Any respected establishment need a proper set of medical specialist. There are no ways to know when an emergency will arise."-Rosette,"Tout établissement respectable a besoin d'un spécialiste en médecine. On ne sait jamais quand une urgence arrivera.","Any respected establishment need a proper set of medical specialist. There are no ways to know when an emergency will arise."-Rosette,"Any respected establishment need a proper set of medical specialist. There are no ways to know when an emergency will arise."-Rosette,"Any respected establishment need a proper set of medical specialist. There are no ways to know when an emergency will arise."-Rosette,"Any respected establishment need a proper set of medical specialist. There are no ways to know when an emergency will arise."-Rosette
Lore_Card_IX,Text,,,,,The Sweetkins are not against guerilla warfare as they use every floor to the best of their abilities.,Les Sweetkins ne sont pas contre la guérilla. Ils utilisent chaque étage au mieux de leurs capacités.,The Sweetkins are not against guerilla warfare as they use every floor to the best of their abilities.,The Sweetkins are not against guerilla warfare as they use every floor to the best of their abilities.,The Sweetkins are not against guerilla warfare as they use every floor to the best of their abilities.,The Sweetkins are not against guerilla warfare as they use every floor to the best of their abilities.
Lore_Card_X,Text,,,,,"Rowdy clients takes the door. That's the rule..."-Rosette,"Les clients problématiques prennent la porte. C’est la règle..."-Rosette,"Rowdy clients takes the door. That's the rule..."-Rosette,"Rowdy clients takes the door. That's the rule..."-Rosette,"Rowdy clients takes the door. That's the rule..."-Rosette,"Rowdy clients takes the door. That's the rule..."-Rosette
Lore_Card_XI,Text,,,,,A wide array of meals seems always at the ready. Exotic food seems the like the norm until they figure out every clan's preference.,Un large éventail de repas exotique semble toujours prêt. C'est une norme jusqu’à ce qu’ils trouvent la préférence de chaque clan.,A wide array of meals seems always at the ready. Exotic food seems the like the norm until they figure out every clan's preference.,A wide array of meals seems always at the ready. Exotic food seems the like the norm until they figure out every clan's preference.,A wide array of meals seems always at the ready. Exotic food seems the like the norm until they figure out every clan's preference.,A wide array of meals seems always at the ready. Exotic food seems the like the norm until they figure out every clan's preference.
Lore_Card_XII,Text,,,,,"It's important to differentiate between cold rooms with leftovers and replacement limbs. This saves time and keeps circulation flowing during rushes." -Rosette,"Il est important de différencier les chambres froides contenant les restants et les membres de remplacement. Cela sauve un temps fou et garde la circulation fluide pendant la crue de client."-Rosette,"It's important to differentiate between cold rooms with leftovers and replacement limbs. This saves time and keeps circulation flowing during rushes." -Rosette,"It's important to differentiate between cold rooms with leftovers and replacement limbs. This saves time and keeps circulation flowing during rushes." -Rosette,"It's important to differentiate between cold rooms with leftovers and replacement limbs. This saves time and keeps circulation flowing during rushes." -Rosette,"It's important to differentiate between cold rooms with leftovers and replacement limbs. This saves time and keeps circulation flowing during rushes." -Rosette
Lore_Card_XIII,Text,,,,,"Sometimes you just have to convince them that they are not at the right spot. We never know who will decide to become a faithful patron."-Rosette,"Parfois il suffit de les convaincre qu’ils ne sont pas au bon endroit. Nous ne savons jamais qui va décider de devenir un fidèle client." -Rosette,"Sometimes you just have to convince them that they are not at the right spot. We never know who will decide to become a faithful patron."-Rosette,"Sometimes you just have to convince them that they are not at the right spot. We never know who will decide to become a faithful patron."-Rosette,"Sometimes you just have to convince them that they are not at the right spot. We never know who will decide to become a faithful patron."-Rosette,"Sometimes you just have to convince them that they are not at the right spot. We never know who will decide to become a faithful patron."-Rosette
Lore_Card_XIV,Text,,,,,"A cruel parasitory concept learned from another world by Father. He wasn't sure if I should even able to do as such. It seems like i have a certain "Floofty" to thank that for."-Rosette,"Un concept parasitaire cruel appris d’un autre monde par Père. Il n’était même pas sûr que je devrais faire comme tel. On dirait que j’ai un certain "Floofty" à remercier pour cela." -Rosette,"A cruel parasitory concept learned from another world by Father. He wasn't sure if I should even able to do as such. It seems like I have a certain "Floofty" to thank that for."-Rosette,"A cruel parasitory concept learned from another world by Father. He wasn't sure if I should even able to do as such. It seems like I have a certain "Floofty" to thank that for."-Rosette,"A cruel parasitory concept learned from another world by Father. He wasn't sure if I should even able to do as such. It seems like I have a certain "Floofty" to thank that for."-Rosette,"A cruel parasitory concept learned from another world by Father. He wasn't sure if I should even able to do as such. It seems like I have a certain "Floofty" to thank that for."-Rosette
Lore_Card_XV,Text,,,,,The various clans aboard the Boneshaker got the chance to watch the various talent shows hosted by the Sweetkin. The process leads to some gruesome events that lead to entertaining shows for the passengers.,Les différents clans à bord du Boneshaker ont eu la chance de voir les différents spectacles de talents animés par le Sweetkin. Le processus mène à des événements horribles qui mènent à des spectacles divertissants pour les passagers.,The various clans aboard the Boneshaker got the chance to watch the various talent shows hosted by the Sweetkin. The process leads to some gruesome events that lead to entertaining shows for the passengers.,The various clans aboard the Boneshaker got the chance to watch the various talent shows hosted by the Sweetkin. The process leads to some gruesome events that lead to entertaining shows for the passengers.,The various clans aboard the Boneshaker got the chance to watch the various talent shows hosted by the Sweetkin. The process leads to some gruesome events that lead to entertaining shows for the passengers.,The various clans aboard the Boneshaker got the chance to watch the various talent shows hosted by the Sweetkin. The process leads to some gruesome events that lead to entertaining shows for the passengers.
Lore_Card_XVI,Text,,,,,"Weapons? We don't do weapons. The only reason we use utencils to defend ourselves is because your winged foes keep assaulting anything that looks like a hellborn."-Rosette,"Des armes? Nous n'utilisons pas d’armes. La seule raison pour laquelle nous utilisons des ustensiles pour nous défendre est parce que vos ennemis ailés continuent d’attaquer tout ce qui ressemble à un résident des Enfers."-Rosette,"Weapons? We don't do weapons. The only reason we use utencils to defend ourselves is because your winged foes keep assaulting anything that looks like a hellborn."-Rosette,"Weapons? We don't do weapons. The only reason we use utencils to defend ourselves is because your winged foes keep assaulting anything that looks like a hellborn."-Rosette,"Weapons? We don't do weapons. The only reason we use utencils to defend ourselves is because your winged foes keep assaulting anything that looks like a hellborn."-Rosette,"Weapons? We don't do weapons. The only reason we use utencils to defend ourselves is because your winged foes keep assaulting anything that looks like a hellborn."-Rosette
Lore_Card_XVII,Text,,,,,"This world's timeline is stuck in a loop. We can help some loops to achieve peace at the very least."-Rosette,"La chronologie de ce monde est bloquée dans une boucle. Nous pouvons aider quelques versions à atteindre leur objectif." -Rosette,"This world's timeline is stuck in a loop. We can help some loops to achieve peace at the very least."-Rosette,"This world's timeline is stuck in a loop. We can help some loops to achieve peace at the very least."-Rosette,"This world's timeline is stuck in a loop. We can help some loops to achieve peace at the very least."-Rosette,"This world's timeline is stuck in a loop. We can help some loops to achieve peace at the very least."-Rosette
Lore_Card_XVIII,Text,,,,,The Sweetkin have an uncanny sense of duty and will be more than willing to help their coworkers regardless of rank or situation. This comes particularly handy in lowering the amount of casualties during the journey to Hell's core.,Les Sweetkin ont un sens du devoir étrange qui les rend plus que disposé à aider leurs collègues indépendamment de leur rang ou de leur situation. Cela est particulièrement pratique pour réduire le nombre de victimes pendant le voyage vers le coeur de l’Enfer.,The Sweetkin have an uncanny sense of duty and will be more than willing to help their coworkers regardless of rank or situation. This comes particularly handy in lowering the amount of casualties during the journey to Hell's core.,The Sweetkin have an uncanny sense of duty and will be more than willing to help their coworkers regardless of rank or situation. This comes particularly handy in lowering the amount of casualties during the journey to Hell's core.,The Sweetkin have an uncanny sense of duty and will be more than willing to help their coworkers regardless of rank or situation. This comes particularly handy in lowering the amount of casualties during the journey to Hell's core.,The Sweetkin have an uncanny sense of duty and will be more than willing to help their coworkers regardless of rank or situation. This comes particularly handy in lowering the amount of casualties during the journey to Hell's core.
Lore_Card_XIX,Text,,,,,"Welcome dear friends! We are the Sweetkin. I have been informed that you might need some help. Am I wrong?" -Rosette during their first encounter with the Hellborn,"Bienvenue chers amis! Nous sommes les Sweetkin. J’ai été informé que vous pourriez avoir besoin d’aide. Ai-je tort?" -Rosette lors de sa première rencontre avec les résidents de l'Enfer,"Welcome dear friends! We are the Sweetkin. I have been informed that you might need some help. Am I wrong?" -Rosette during their first encounter with the Hellborn,"Welcome dear friends! We are the Sweetkin. I have been informed that you might need some help. Am I wrong?" -Rosette during their first encounter with the Hellborn,"Welcome dear friends! We are the Sweetkin. I have been informed that you might need some help. Am I wrong?" -Rosette during their first encounter with the Hellborn,"Welcome dear friends! We are the Sweetkin. I have been informed that you might need some help. Am I wrong?" -Rosette during their first encounter with the Hellborn
Lore_Card_XX,Text,,,,,The Sweetkin have several morsel like creature and yet the smaller ones seems to have been designed for consumption rather than manual labor. This makes them a lot less useful than the umbra workforce.,Les Sweetkin ont plusieurs créature similaire aux Sous-bistres et pourtant les plus petits semblent avoir été conçus pour la consommation plutôt que le travail manuel. Cela les rend beaucoup moins utiles que la main-d’oeuvre Umbra.,The Sweetkin have several morsel like creature and yet the smaller ones seems to have been designed for consumption rather than manual labor. This makes them a lot less useful than the umbra workforce.,The Sweetkin have several morsel like creature and yet the smaller ones seems to have been designed for consumption rather than manual labor. This makes them a lot less useful than the umbra workforce.,The Sweetkin have several morsel like creature and yet the smaller ones seems to have been designed for consumption rather than manual labor. This makes them a lot less useful than the umbra workforce.,The Sweetkin have several morsel like creature and yet the smaller ones seems to have been designed for consumption rather than manual labor. This makes them a lot less useful than the umbra workforce.
Lore_Card_XXI,Text,,,,,"Delivery service at your command! What can i do for you today? (Dove Cooing) "-Sweetkin's Delivery Service,"Service de livraison à vos ordres! Que puis-je faire pour vous aujourd’hui? (Roucoulement de Collombe) "-Service de livraison des Sweetkin,"Delivery service at your command! What can i do for you today? (Dove Cooing) "-Sweetkin's Delivery Service,"Delivery service at your command! What can i do for you today? (Dove Cooing) "-Sweetkin's Delivery Service,"Delivery service at your command! What can i do for you today? (Dove Cooing) "-Sweetkin's Delivery Service,"Delivery service at your command! What can i do for you today? (Dove Cooing) "-Sweetkin's Delivery Service
Lore_Card_XXII,Text,,,,,A glacial atmosphere surrounded the giantess's room. It suppressed the Pyre influence but did not harm bare flesh of any friendly visitor. The same could not be said of those who attacked blindly.,Une atmosphère glaciaire entourait la chambre de la géante. Elle supprimait l’influence du Brasier mais ne nuisait pas à la chair nue de tout visiteur amical.On ne peut en dire autant de ceux qui ont attaqué sans arrière pensée.,A glacial atmosphere surrounded the giantess's room. It suppressed the Pyre influence but did not harm bare flesh of any friendly visitor. The same could not be said of those who attacked blindly.,A glacial atmosphere surrounded the giantess's room. It suppressed the Pyre influence but did not harm bare flesh of any friendly visitor. The same could not be said of those who attacked blindly.,A glacial atmosphere surrounded the giantess's room. It suppressed the Pyre influence but did not harm bare flesh of any friendly visitor. The same could not be said of those who attacked blindly.,A glacial atmosphere surrounded the giantess's room. It suppressed the Pyre influence but did not harm bare flesh of any friendly visitor. The same could not be said of those who attacked blindly.
Lore_Card_XXIII,Text,,,,,"Symbolism also helps with how a living being should act. You might not know this creature since it inhabits a different version of Hell."-Rosette,"Le symbolisme aide aussi avec la façon dont un être vivant devrait agir. Vous risquez de ne pas connaître cette créature puisqu’elle habite une version différente de l’Enfer." -Rosette,"Symbolism also helps with how a living being should act. You might not know this creature since it inhabits a different version of Hell."-Rosette,"Symbolism also helps with how a living being should act. You might not know this creature since it inhabits a different version of Hell."-Rosette,"Symbolism also helps with how a living being should act. You might not know this creature since it inhabits a different version of Hell."-Rosette,"Symbolism also helps with how a living being should act. You might not know this creature since it inhabits a different version of Hell."-Rosette
Lore_Card_XXIV,Text,,,,,Some of the Sweetkin are mass produced by a dedicated being. This one seems to be bent on preventing one's advance inside our walls using...Dubious methods.,Certains des Sweetkin sont produits en masse par un être dédié. Celui-ci semble être déterminé à empêcher l'avance des intrus à l’intérieur de nos murs en utilisant... Méthodes douteuses.,Some of the Sweetkin are mass produced by a dedicated being. This one seems to be bent on preventing one's advance inside our walls using...Dubious methods.,Some of the Sweetkin are mass produced by a dedicated being. This one seems to be bent on preventing one's advance inside our walls using...Dubious methods.,Some of the Sweetkin are mass produced by a dedicated being. This one seems to be bent on preventing one's advance inside our walls using...Dubious methods.,Some of the Sweetkin are mass produced by a dedicated being. This one seems to be bent on preventing one's advance inside our walls using...Dubious methods.
Lore_Card_XXV,Text,,,,,This gargantuan creature is in charge of recycling the few fallen who cannot be saved. Granting them a second wind that might ultimately shift the balance in our favor.,Cette créature gargantuesque est chargée de recycler les quelques victimes qui ne peuvent être sauvés et leur accorder un second vent qui pourrait finalement changer l’équilibre en notre faveur.,This gargantuan creature is in charge of recycling the few fallen who cannot be saved. Granting them a second wind that might ultimately shift the balance in our favor.,This gargantuan creature is in charge of recycling the few fallen who cannot be saved. Granting them a second wind that might ultimately shift the balance in our favor.,This gargantuan creature is in charge of recycling the few fallen who cannot be saved. Granting them a second wind that might ultimately shift the balance in our favor.,This gargantuan creature is in charge of recycling the few fallen who cannot be saved. Granting them a second wind that might ultimately shift the balance in our favor.
Lore_Card_XXVI,Text,,,,,Even the smallest of Sweetkin does not back down if there is a chance of success. This hastily made guard proved itself a loyal ally to any would be "Employer".,Même le plus petit de Sweetkin ne recule pas s’il y a une chance de succès. Cette garde hâtivement faite s’est avérée une alliée loyale à tout potenciel "Employeur".,Even the smallest of Sweetkin does not back down if there is a chance of success. This hastily made guard proved itself a loyal ally to any would be "Employer".,Even the smallest of Sweetkin does not back down if there is a chance of success. This hastily made guard proved itself a loyal ally to any would be "Employer".,Even the smallest of Sweetkin does not back down if there is a chance of success. This hastily made guard proved itself a loyal ally to any would be "Employer".,Even the smallest of Sweetkin does not back down if there is a chance of success. This hastily made guard proved itself a loyal ally to any would be "Employer".
Lore_Card_XXVII,Text,,,,,It is strange to see your potential last meal run to your help. It certainly puts into perspective one's life choice.,Il est étrange de voir votre dernier repas venir à votre aide. Cela met certainement en perspective vos choix de vie.,It is strange to see your potential last meal run to your help. It certainly puts into perspective one's life choice.,It is strange to see your potential last meal run to your help. It certainly puts into perspective one's life choice.,It is strange to see your potential last meal run to your help. It certainly puts into perspective one's life choice.,It is strange to see your potential last meal run to your help. It certainly puts into perspective one's life choice.
Lore_Card_XXVIII,Text,,,,,"Time to cook up a storm! Cover me while I prepare us something!"-Sweetkin Cook,"Il est temps de préparer une tempête! Couvrez-moi pendant que je nous prépare quelque chose!" -Cuistot Sweetkin,"Time to cook up a storm! Cover me while I prepare us something!"-Sweetkin Cook,"Time to cook up a storm! Cover me while I prepare us something!"-Sweetkin Cook,"Time to cook up a storm! Cover me while I prepare us something!"-Sweetkin Cook,"Time to cook up a storm! Cover me while I prepare us something!"-Sweetkin Cook
Lore_Card_XXIX,Text,,,,,"Are you alright? Let me make sure you can last the whole battle!"- Sweetkin Maid nursing a dreg,"Est-ce que ça va? Laissez-moi m’assurer que vous pouvez durer toute la bataille!" - Thérapiste Sweetkin s'occupant d'un Éphémère,"Are you alright? Let me make sure you can last the whole battle!"- Sweetkin Maid nursing a dreg,"Are you alright? Let me make sure you can last the whole battle!"- Sweetkin Maid nursing a dreg,"Are you alright? Let me make sure you can last the whole battle!"- Sweetkin Maid nursing a dreg,"Are you alright? Let me make sure you can last the whole battle!"- Sweetkin Maid nursing a dreg
Lore_Card_XXX,Text,,,,,"I was desperate when We made that one. It doesn't even have a proper name!"- Rosette,"J’étais désespéré quand Nous avons fait celui-là. Il n’a même pas un nom décent!" - Rosette,"I was desperate when We made that one. It doesn't even have a proper name!"- Rosette,"I was desperate when We made that one. It doesn't even have a proper name!"- Rosette,"I was desperate when We made that one. It doesn't even have a proper name!"- Rosette,"I was desperate when We made that one. It doesn't even have a proper name!"- Rosette
Lore_Card_XXXI,Text,,,,,The newly created Sweetkin is a unique individual from the start regardless of his size or shape. But their general demeanor seems influenced by Rosette's whims.,Le Sweetkin nouvellement créé est un individu unique dès le début indépendamment de sa taille ou de sa forme. Mais leur comportement général semble influencé par les caprices de Rosette.,The newly created Sweetkin is a unique individual from the start regardless of his size or shape. But their general demeanor seems influenced by Rosette's whims.,The newly created Sweetkin is a unique individual from the start regardless of his size or shape. But their general demeanor seems influenced by Rosette's whims.,The newly created Sweetkin is a unique individual from the start regardless of his size or shape. But their general demeanor seems influenced by Rosette's whims.,The newly created Sweetkin is a unique individual from the start regardless of his size or shape. But their general demeanor seems influenced by Rosette's whims.
Lore_Card_XXXII,Text,,,,,Some wealthy imps have taken a liking to the pampering provided by the Sweetkin. Their donations seem to be enough to stir the Sweetkin into providing little extras for any Hellborn nearby.,Certains Diablotins fortunés ont pris goût aux soins prodigués par les Sweetkin. Leurs dons semblent être suffisants pour inciter les Sweetkin à fournir de petits extras à n’importe quel résident Infernaux à proximités.,Some wealthy imps have taken a liking to the pampering provided by the Sweetkin. Their donations seem to be enough to stir the Sweetkin into providing little extras for any Hellborn nearby.,Some wealthy imps have taken a liking to the pampering provided by the Sweetkin. Their donations seem to be enough to stir the Sweetkin into providing little extras for any Hellborn nearby.,Some wealthy imps have taken a liking to the pampering provided by the Sweetkin. Their donations seem to be enough to stir the Sweetkin into providing little extras for any Hellborn nearby.,Some wealthy imps have taken a liking to the pampering provided by the Sweetkin. Their donations seem to be enough to stir the Sweetkin into providing little extras for any Hellborn nearby.
Lore_Card_XXXIII,Text,,,,,"This level is forbidden dear guest. Please use the stairs back to the bottom floor. No? Then may I provide some desert?"-Sweetkin Butler,"Ce niveau est interdit cher invité. Je vous pris d'utiliser les escaliers et de retourner à l’étage inférieur. Non? Puis-je fournir un peu de dessert?" -Sweetkin Butler,"This level is forbidden dear guest. Please use the stairs back to the bottom floor. No? Then may I provide some desert?"-Sweetkin Butler,"This level is forbidden dear guest. Please use the stairs back to the bottom floor. No? Then may I provide some desert?"-Sweetkin Butler,"This level is forbidden dear guest. Please use the stairs back to the bottom floor. No? Then may I provide some desert?"-Sweetkin Butler,"This level is forbidden dear guest. Please use the stairs back to the bottom floor. No? Then may I provide some desert?"-Sweetkin Butler
Lore_Card_XXXIV,Text,,,,,"And this one was the first molded with the help of my eldest brother. I'l say that he did wonderful work."-Rosette,"Et celui-ci fut le premier moulé avec l’aide de mon frère aîné. Je dis qu’il a fait un travail merveilleux." -Rosette,"And this one was the first molded with the help of my eldest brother. I'l say that he did wonderful work."-Rosette,"And this one was the first molded with the help of my eldest brother. I'l say that he did wonderful work."-Rosette,"And this one was the first molded with the help of my eldest brother. I'l say that he did wonderful work."-Rosette,"And this one was the first molded with the help of my eldest brother. I'l say that he did wonderful work."-Rosette
Lore_Card_XXXV,Text,,,,,The Herald of the second Clan that willingly joined the loop. A sharpened mind can see past the veil and wrap reality to their will. ,Le Héraut du second Clan qui s’est volontairement joint à la boucle. Un esprit aiguisé peut voir au-delà du voile et manipuler la réalité à volonté.,The Herald of the second Clan that willingly joined the loop. A sharpened mind can see past the veil and wrap reality to their will.,The Herald of the second Clan that willingly joined the loop. A sharpened mind can see past the veil and wrap reality to their will.,The Herald of the second Clan that willingly joined the loop. A sharpened mind can see past the veil and wrap reality to their will.,The Herald of the second Clan that willingly joined the loop. A sharpened mind can see past the veil and wrap reality to their will.
Lore_Card_XXXVI,Text,,,,,Sweet Giantess Come in all shapes and sizes. This secondborn is being brought along by Rosette giving greater meaning to Sally's existence.,Les Géantes sucrées existe dans plusieurs formes et tailles. Cette seconde-née fut amenée par Rosette ce qui donna un plus grand sens à l’existence de Sally.,Sweet Giantess Come in all shapes and sizes. This secondborn is being brought along by Rosette giving greater meaning to Sally's existence.,Sweet Giantess Come in all shapes and sizes. This secondborn is being brought along by Rosette giving greater meaning to Sally's existence.,Sweet Giantess Come in all shapes and sizes. This secondborn is being brought along by Rosette giving greater meaning to Sally's existence.,Sweet Giantess Come in all shapes and sizes. This secondborn is being brought along by Rosette giving greater meaning to Sally's existence.

Sweetkin_Exile_Name,Text,,,,,"Sweet Cherry" Sally,Sally "Cerise Sucrée","Sweet Cherry" Sally,"Sweet Cherry" Sally,"Sweet Cherry" Sally,"Sweet Cherry" Sally
StatusEffect_Relentless_CardTooltipText,Text,,,,,All Units on a Floor with a Relentless Unit must fight until either side die. The floor is frozen if the unit with Relentless wins.,Toutes les Unitées sur un Étage avec un personnage Impitoyable doivent se battre jusqu'à la mort. L'étage est scéllé si en cas de défaite.,All Units on a Floor with a Relentless Unit must fight until either side die. The floor is frozen if the unit with Relentless wins.,All Units on a Floor with a Relentless Unit must fight until either side die. The floor is frozen if the unit with Relentless wins.,All Units on a Floor with a Relentless Unit must fight until either side die. The floor is frozen if the unit with Relentless wins.,All Units on a Floor with a Relentless Unit must fight until either side die. The floor is frozen if the unit with Relentless wins.,
Clan_desc,Text,,,,,A hospitable force from another world. They are unknowingly taking part in something greater than they should be. The Sweetkin are often more than what people can chew.,Une force hospitalière d’un autre monde. Ils participent sans le savoir à quelque chose de plus grand qu’ils pensent. Les Sweetkin donneront à leurs adversaires plus de problèmes qu'ils n'en valent la peine.,A hospitable force from another world. They are unknowingly taking part in something greater than they should be. The Sweetkin are often more than what people can chew.,A hospitable force from another world. They are unknowingly taking part in something greater than they should be. The Sweetkin are often more than what people can chew.,A hospitable force from another world. They are unknowingly taking part in something greater than they should be. The Sweetkin are often more than what people can chew.,A hospitable force from another world. They are unknowingly taking part in something greater than they should be. The Sweetkin are often more than what people can chew.
Clan_subdesc,Text,,,,,Ally yourself with the outerwordly and enticingly sugary SweetKin,Alliez-vous avec les alléchant SweetKin venu d'un autre monde.,Ally yourself with the outerwordly and enticingly sugary SweetKin,Ally yourself with the outerwordly and enticingly sugary SweetKin,Ally yourself with the outerwordly and enticingly sugary SweetKin,Ally yourself with the outerwordly and enticingly sugary SweetKin
name_sweet_banner,Text,,,,,Sweetkin Banner,Bannière des Sweetkin,Sweetkin Banner,Sweetkin Banner,Sweetkin Banner,Sweetkin Banner
desc_sweet_banner,Text,,,,,gain a sweetkin unit,Recevez un Sweetkin,gain a sweetkin unit,gain a sweetkin unit,gain a sweetkin unit,gain a sweetkin unit